Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
GameDecision;2021-01-25 15:24:13.0847;29105;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;4;-3.9229;0.0000;Running;2.7588;8;0.1000;0;0.0000;7;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;RejInput
MotorImagery;2021-01-25 15:24:13.2432;29179;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6529;17;NULL
Rest;2021-01-25 15:24:13.3679;29239;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6168;17;NULL
MotorImagery;2021-01-25 15:24:13.6162;29357;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6409;18;NULL
Rest;2021-01-25 15:24:13.6182;29358;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6312;18;NULL
InputWindowChange;2021-01-25 15:24:23.8834;33679;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Open;5;-3.9229;0.0000;Running;2.2301;8;0.1000;0;0.0000;7;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-25 15:24:26.7718;34848;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6521;19;NULL
Rest;2021-01-25 15:24:26.7738;34849;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6380;19;NULL
MotorImagery;2021-01-25 15:24:26.9005;34898;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6406;20;NULL
Rest;2021-01-25 15:24:26.9035;34899;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6279;20;NULL
InputWindowChange;2021-01-25 15:24:27.8829;35281;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;5;-3.9220;0.0000;Running;2.2301;8;0.1000;0;0.0000;7;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:24:27.8829;35281;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;5;-3.9220;0.0000;Running;2.2301;8;0.1000;0;0.0000;6;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;RejInput
MotorImagery;2021-01-25 15:24:28.5786;35584;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6465;21;NULL
Rest;2021-01-25 15:24:29.5846;36049;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6181;21;NULL
InputWindowChange;2021-01-25 15:24:39.0027;40425;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Open;6;-3.9220;0.0000;Running;2.8200;8;0.1000;0;0.0000;6;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:24:43.0019;42337;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;6;-3.9206;0.0000;Running;2.8200;8;0.1000;0;0.0000;6;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:24:43.0049;42337;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;6;-3.9206;0.0000;Running;2.8200;9;0.1000;0;0.0000;4;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:24:53.3243;47056;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Open;7;-3.9206;0.0000;Running;2.2439;9;0.1000;0;0.0000;4;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:24:57.3221;48950;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;7;-3.9199;0.0000;Running;2.2439;9;0.1000;0;0.0000;4;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:24:57.3241;48950;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;7;-3.9199;0.0000;Running;2.2439;10;0.1000;0;0.0000;2;0.3000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:25:07.7049;53707;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Open;8;-3.9199;0.0000;Running;2.9539;10;0.1000;0;0.0000;2;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-25 15:25:08.8201;54227;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6534;22;NULL
InputWindowChange;2021-01-25 15:25:08.8201;54227;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;8;-6.8015;0.0000;Running;2.9539;10;0.1000;0;0.0000;2;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:25:08.8201;54227;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;8;-6.8015;0.0000;Running;2.9539;9;0.1500;0;0.0000;2;0.3000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-01-25 15:25:09.3238;54460;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6355;22;NULL
InputWindowChange;2021-01-25 15:25:19.2626;59001;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Open;9;-6.8015;0.0000;Running;1.9360;9;0.1500;0;0.0000;2;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:25:23.2600;60881;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;9;-6.8010;0.0000;Running;1.9360;9;0.1500;0;0.0000;2;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:25:23.2610;60881;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;9;-6.8010;0.0000;Running;1.9360;10;0.1500;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:25:34.2635;65889;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Open;10;-6.8010;0.0000;Running;1.9908;10;0.1500;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:25:38.2628;67778;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;10;-6.7988;0.0000;Running;1.9908;10;0.1500;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:25:38.2638;67778;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;10;-6.7988;0.0000;Running;1.9908;11;0.1500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
MotorImagery;2021-01-25 15:25:38.7121;67980;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6682;23;NULL
Rest;2021-01-25 15:25:38.8358;68038;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6394;23;NULL
InputWindowChange;2021-01-25 15:25:49.2217;72692;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Open;11;-6.7988;0.0000;Running;1.3578;11;0.1500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:25:53.2211;74559;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;11;-6.7982;0.0000;Running;1.3578;11;0.1500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:25:53.2221;74559;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;11;-6.7982;0.0000;Running;1.3578;12;0.1500;0;0.0000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:26:03.5219;79281;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Open;12;-6.7982;0.0000;Running;2.8131;12;0.1500;0;0.0000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-25 15:26:05.8083;80346;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6557;24;NULL
