Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
Rest;2021-01-26 09:13:00.3110;3386;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6964;19;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:00.3219;3387;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7683;20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:13:02.1161;3518;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6852;20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:02.2408;3527;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7158;21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:13:02.3535;3535;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6710;21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:13:02.8202;3568;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Open;3;-3.9291;0.0000;Running;1.9067;10;0.0500;0;0.0000;7;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-26 09:13:03.0057;3582;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7085;22;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:13:03.0057;3582;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;3;-7.7308;0.0000;Running;1.9067;10;0.0500;0;0.0000;7;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:13:03.0077;3582;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;3;-7.7308;0.0000;Running;1.9067;9;0.1000;0;0.0000;7;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-26 09:13:03.0127;3583;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6923;22;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:03.0226;3584;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7168;23;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:13:04.1411;3663;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6865;23;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:10.8171;4139;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7069;24;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:13:10.9108;4146;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6565;24;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:11.0514;4157;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7231;25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:13:13.9803;4366;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Open;4;-7.7308;0.0000;Running;1.3001;9;0.1000;0;0.0000;7;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
Rest;2021-01-26 09:13:14.8781;4426;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6724;25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:15.6431;4478;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7254;26;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:13:17.9665;4642;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;4;-7.7155;0.0000;Running;1.3001;9;0.1000;0;0.0000;7;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:13:17.9675;4642;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;4;-7.7155;0.0000;Running;1.3001;9;0.1000;0;0.0000;6;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput
Rest;2021-01-26 09:13:19.4765;4752;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6917;26;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:27.9092;5347;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7188;27;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:13:28.3291;5377;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Open;5;-7.7155;0.0000;Running;1.5499;9;0.1000;0;0.0000;6;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
Rest;2021-01-26 09:13:31.5128;5607;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6749;27;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:31.8758;5633;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7070;28;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:13:32.3274;5666;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;5;-7.7001;0.0000;Running;1.5499;9;0.1000;0;0.0000;6;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:13:32.3284;5666;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;5;-7.7001;0.0000;Running;1.5499;9;0.1000;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput
Rest;2021-01-26 09:13:33.2784;5734;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6831;28;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:33.9210;5783;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7082;29;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:13:33.9450;5784;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6491;29;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:41.9768;6357;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7408;30;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:13:42.3796;6387;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6842;30;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:13:43.5102;6465;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Open;6;-7.7001;0.0000;Running;2.0371;9;0.1000;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-26 09:13:43.7543;6483;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7249;31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:13:43.7543;6483;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;6;-11.4367;0.0000;Running;2.0371;9;0.1000;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:13:43.7543;6483;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;6;-11.4367;0.0000;Running;2.0371;8;0.1500;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-26 09:13:44.9200;6563;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6951;31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:45.0107;6569;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7018;32;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:13:45.0197;6570;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6867;32;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
