Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
InputWindowChange;2021-01-26 10:53:21.4017;8755;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;8;-9.5138;0.0000;Running;2.9668;10;0.2000;6;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:53:21.4047;8755;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;8;-9.5138;0.0000;Running;2.9668;10;0.2000;5;0.0500;0;0.2000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
MotorImagery;2021-01-26 10:53:24.7810;9003;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7085;9
Rest;2021-01-26 10:53:25.1739;9029;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6225;9
InputWindowChange;2021-01-26 10:53:30.9629;9449;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;9;-9.5138;0.0000;Running;1.2398;10;0.2000;5;0.0500;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:53:32.2135;9537;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;9;-12.2509;0.0000;Running;1.2398;10;0.2000;5;0.0500;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:53:32.2145;9537;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;9;-12.2509;0.0000;Running;1.2398;10;0.2000;4;0.1000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
MotorImagery;2021-01-26 10:53:32.9722;9591;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7001;10
Rest;2021-01-26 10:53:33.0789;9598;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6866;10
MotorImagery;2021-01-26 10:53:33.2295;9607;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7099;11
